input_text	label
SMILE2Biosyn_class: CC=C1C2CC3=C(C=CC(O)=N3)C1(N)CC(C)=C2	Alkaloid
SMILE2Biosyn_class: O=C1[C@@]2(O)N3C(C4=C([C@@]2(O)C(N1C)=O)C5=CC(Cl)=CC=C5N4)=C(OC)C6=CC(O)=C(Cl)C=C63	Alkaloid
SMILE2Biosyn_class: CO[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1O)O)N2C3=C(C=CC=C3Cl)C4=C5C(=C6C7=C(C(=CC=C7)Cl)NC6=C42)C(=O)NC5=O)CO	Alkaloid
SMILE2Biosyn_class: CN1CC[C@]23[C@@H]4C(=CC=C2[C@H]1CC5=C3C(=C(C=C5)OC)O4)OC	Alkaloid
SMILE2Biosyn_class: CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3	Alkaloid
SMILE2Biosyn_class: C[C@@]12CC3=C(C(=C4C(=C3)C=CC5=C4C(=C6C(=C5O)OC7=CC(=C(C=C7C6=O)OC)OC)O)O)C(=O)N1CCO2	Alkaloid
SMILE2Biosyn_class: C[C@@]1(N(C(=O)C2=C[C@]3(C4=CC=CC=C4N(C3=O)C)C(=O)N21)/C=C/C5=CC=CC=C5)OC	Alkaloid
SMILE2Biosyn_class: C/C(C)=C/[C@@H]1N2C3=C(C4=C2[C@@H](N5C([C@]6([H])CCCN6C([C@]5(O)[C@H]4O)=O)=O)CC(C)(C)OO1)C=CC(OC)=C3	Alkaloid
SMILE2Biosyn_class: COC(=O)C1=C2NC(=O)C3=CC=CC=C3OC2=CC=C1	Alkaloid
SMILE2Biosyn_class: C[C@H]1C=C[C@H]2CCCC[C@@H]2[C@H]1C(=O)[C@H]3[C@H]4[C@@]5([C@@H](CCN5C3=O)C(=O)O4)O	Alkaloid
SMILE2Biosyn_class: NC1=NC(/C=C/CC2=CC=CC=C2)=C3N1CCC3	Alkaloid
SMILE2Biosyn_class: OC1=CC=C(\C=C2\C(=O)C(C3=C4C5=C(C=CC=C5)N=C4\C(=C/C4=CC=C(O)C=C4)C3=O)=C3C4=C(C=CC=C4)N=C23)C=C1	Alkaloid
